event_id,observed_at,low_usd
17164018,2026-05-08T21:57:23.129023+00:00,2000
17307566,2026-05-08T21:57:23.129023+00:00,706
17213264,2026-05-08T21:57:23.129023+00:00,1068
17269677,2026-05-08T21:57:23.129023+00:00,1126
17650335,2026-05-08T21:57:23.129023+00:00,1458
17385149,2026-05-08T21:57:23.129023+00:00,922
17248700,2026-05-08T21:57:23.129023+00:00,697
17174346,2026-05-08T21:57:23.129023+00:00,910
17249646,2026-05-08T21:57:23.129023+00:00,992
17307570,2026-05-08T21:57:23.129023+00:00,1426
17176210,2026-05-08T21:57:23.129023+00:00,1771
17164019,2026-05-08T21:57:23.129023+00:00,1987
17196238,2026-05-08T21:57:23.129023+00:00,1541
17385150,2026-05-08T21:57:23.129023+00:00,2660
17174347,2026-05-08T21:57:23.129023+00:00,2519
17164020,2026-05-08T21:57:23.129023+00:00,1024
17307574,2026-05-08T21:57:23.129023+00:00,9778
17174344,2026-05-08T21:57:23.129023+00:00,208
17307562,2026-05-08T21:57:23.129023+00:00,602
17196237,2026-05-08T21:57:23.129023+00:00,586
17164017,2026-05-08T21:57:23.129023+00:00,3031
17650338,2026-05-08T22:57:08.778316+00:00,2361
17650349,2026-05-08T22:57:08.778316+00:00,387
17234767,2026-05-08T22:57:08.778316+00:00,1223
17176203,2026-05-08T22:57:08.778316+00:00,1163
17171556,2026-05-08T22:57:08.778316+00:00,264
17269669,2026-05-08T22:57:08.778316+00:00,1555
17307864,2026-05-08T22:57:08.778316+00:00,669
17249637,2026-05-08T22:57:08.778316+00:00,325
17307552,2026-05-08T22:57:08.778316+00:00,421
17385143,2026-05-08T22:57:08.778316+00:00,804
17213259,2026-05-08T22:57:08.778316+00:00,776
17650339,2026-05-08T22:57:08.778316+00:00,317
17174340,2026-05-08T22:57:08.778316+00:00,512
17248695,2026-05-08T22:57:08.778316+00:00,578
17176204,2026-05-08T22:57:08.778316+00:00,308
17164014,2026-05-08T22:57:08.778316+00:00,401
17269672,2026-05-08T22:57:08.778316+00:00,810
17307866,2026-05-08T22:57:08.778316+00:00,287
17196233,2026-05-08T22:57:08.778316+00:00,845
17171557,2026-05-08T22:57:08.778316+00:00,190
17307554,2026-05-08T22:57:08.778316+00:00,721
17385142,2026-05-08T22:57:08.778316+00:00,1078
17234768,2026-05-08T22:57:08.778316+00:00,513
17650337,2026-05-08T22:57:08.778316+00:00,860
17174341,2026-05-08T22:57:08.778316+00:00,234
17176205,2026-05-08T22:57:08.778316+00:00,357
17249638,2026-05-08T22:57:08.778316+00:00,646
17650350,2026-05-08T22:57:08.778316+00:00,2944
17248696,2026-05-08T22:57:08.778316+00:00,1134
17307502,2026-05-08T22:57:08.778316+00:00,844
17213260,2026-05-08T22:57:08.778316+00:00,1021
17171558,2026-05-08T22:57:08.778316+00:00,278
17307556,2026-05-08T22:57:08.778316+00:00,493
17234769,2026-05-08T22:57:08.778316+00:00,744
17196234,2026-05-08T22:57:08.778316+00:00,331
17650346,2026-05-08T22:57:08.778316+00:00,363
17174342,2026-05-08T22:57:08.778316+00:00,553
17176206,2026-05-08T22:57:08.778316+00:00,363
17164015,2026-05-08T22:57:08.778316+00:00,272
17249640,2026-05-08T22:57:08.778316+00:00,216
17385144,2026-05-08T22:57:08.778316+00:00,1155
17213261,2026-05-08T22:57:08.778316+00:00,479
17269673,2026-05-08T22:57:08.778316+00:00,531
17171559,2026-05-08T22:57:08.778316+00:00,200
17307558,2026-05-08T22:57:08.778316+00:00,777
17307504,2026-05-08T22:57:08.778316+00:00,822
17234770,2026-05-08T22:57:08.778316+00:00,612
17650353,2026-05-08T22:57:08.778316+00:00,623
17248697,2026-05-08T22:57:08.778316+00:00,210
