vivid_event_id,observed_at,low_price_usd
25249638,2026-05-08T22:57:08.778316+00:00,636
25249638,2026-05-08T23:57:10.868782+00:00,689
25650350,2026-05-08T20:19:43.178923+00:00,2684
25650350,2026-05-08T21:57:23.129023+00:00,2904
25650350,2026-05-08T22:57:08.778316+00:00,2803
25650350,2026-05-08T23:57:10.868782+00:00,2908
25248696,2026-05-08T20:19:43.178923+00:00,1116
25248696,2026-05-08T21:57:23.129023+00:00,1152
25248696,2026-05-08T22:57:08.778316+00:00,1132
25248696,2026-05-08T23:57:10.868782+00:00,1087
25307502,2026-05-08T20:19:43.178923+00:00,838
25307502,2026-05-08T21:57:23.129023+00:00,834
25307502,2026-05-08T22:57:08.778316+00:00,856
25307502,2026-05-08T23:57:10.868782+00:00,832
25213260,2026-05-08T20:19:43.178923+00:00,999
25213260,2026-05-08T21:57:23.129023+00:00,1022
25213260,2026-05-08T22:57:08.778316+00:00,1012
25213260,2026-05-08T23:57:10.868782+00:00,1048
25171558,2026-05-08T20:19:43.178923+00:00,275
25171558,2026-05-08T21:57:23.129023+00:00,277
25171558,2026-05-08T22:57:08.778316+00:00,292
25171558,2026-05-08T23:57:10.868782+00:00,286
25307556,2026-05-08T20:19:43.178923+00:00,498
25307556,2026-05-08T21:57:23.129023+00:00,482
25307556,2026-05-08T22:57:08.778316+00:00,484
25307556,2026-05-08T23:57:10.868782+00:00,500
25234769,2026-05-08T20:19:43.178923+00:00,752
25234769,2026-05-08T21:57:23.129023+00:00,738
25234769,2026-05-08T22:57:08.778316+00:00,709
25234769,2026-05-08T23:57:10.868782+00:00,752
25196234,2026-05-08T20:19:43.178923+00:00,322
25196234,2026-05-08T21:57:23.129023+00:00,351
25196234,2026-05-08T22:57:08.778316+00:00,330
25196234,2026-05-08T23:57:10.868782+00:00,313
25650346,2026-05-08T20:19:43.178923+00:00,348
25650346,2026-05-08T21:57:23.129023+00:00,347
25650346,2026-05-08T22:57:08.778316+00:00,364
25650346,2026-05-08T23:57:10.868782+00:00,346
25174342,2026-05-08T20:19:43.178923+00:00,517
25174342,2026-05-08T21:57:23.129023+00:00,558
25174342,2026-05-08T22:57:08.778316+00:00,534
25174342,2026-05-08T23:57:10.868782+00:00,580
25176206,2026-05-08T20:19:43.178923+00:00,325
25176206,2026-05-08T21:57:23.129023+00:00,341
25176206,2026-05-08T22:57:08.778316+00:00,353
25176206,2026-05-08T23:57:10.868782+00:00,380
25164015,2026-05-08T20:19:43.178923+00:00,265
25164015,2026-05-08T21:57:23.129023+00:00,270
25164015,2026-05-08T22:57:08.778316+00:00,263
25164015,2026-05-08T23:57:10.868782+00:00,293
25249640,2026-05-08T20:19:43.178923+00:00,218
25249640,2026-05-08T21:57:23.129023+00:00,222
25249640,2026-05-08T22:57:08.778316+00:00,208
25249640,2026-05-08T23:57:10.868782+00:00,223
25385144,2026-05-08T20:19:43.178923+00:00,1163
25385144,2026-05-08T21:57:23.129023+00:00,1154
25385144,2026-05-08T22:57:08.778316+00:00,1202
25385144,2026-05-08T23:57:10.868782+00:00,1131
25213261,2026-05-08T20:19:43.178923+00:00,461
25213261,2026-05-08T21:57:23.129023+00:00,448
25213261,2026-05-08T22:57:08.778316+00:00,469
25213261,2026-05-08T23:57:10.868782+00:00,483
25269673,2026-05-08T20:19:43.178923+00:00,492
25269673,2026-05-08T21:57:23.129023+00:00,512
25269673,2026-05-08T22:57:08.778316+00:00,527
25269673,2026-05-08T23:57:10.868782+00:00,532
25171559,2026-05-08T20:19:43.178923+00:00,187
25171559,2026-05-08T21:57:23.129023+00:00,201
25171559,2026-05-08T22:57:08.778316+00:00,196
25171559,2026-05-08T23:57:10.868782+00:00,191
25307558,2026-05-08T20:19:43.178923+00:00,755
25307558,2026-05-08T21:57:23.129023+00:00,797
25307558,2026-05-08T22:57:08.778316+00:00,801
25307558,2026-05-08T23:57:10.868782+00:00,846
25307504,2026-05-08T20:19:43.178923+00:00,790
25307504,2026-05-08T21:57:23.129023+00:00,810
25307504,2026-05-08T22:57:08.778316+00:00,856
25307504,2026-05-08T23:57:10.868782+00:00,806
25234770,2026-05-08T20:19:43.178923+00:00,555
25234770,2026-05-08T21:57:23.129023+00:00,580
25234770,2026-05-08T22:57:08.778316+00:00,636
25234770,2026-05-08T23:57:10.868782+00:00,649
25650353,2026-05-08T20:19:43.178923+00:00,596
25650353,2026-05-08T21:57:23.129023+00:00,616
25650353,2026-05-08T22:57:08.778316+00:00,613
25650353,2026-05-08T23:57:10.868782+00:00,669
25248697,2026-05-08T20:19:43.178923+00:00,206
