tickpick_event_id,observed_at,low_price_usd
6259686,2026-05-23T23:58:32.134940+00:00,446.0
6259714,2026-05-23T23:58:32.134940+00:00,772.0
6259715,2026-05-23T23:58:32.134940+00:00,690.0
6259716,2026-05-23T23:58:32.134940+00:00,498.0
6259717,2026-05-23T23:58:32.134940+00:00,650.0
6259718,2026-05-23T23:58:32.134940+00:00,144.0
6259719,2026-05-23T23:58:32.134940+00:00,695.0
6259720,2026-05-23T23:58:32.134940+00:00,778.0
6259721,2026-05-23T23:58:32.134940+00:00,420.0
6259722,2026-05-23T23:58:32.134940+00:00,308.0
6259723,2026-05-23T23:58:32.134940+00:00,643.0
6259724,2026-05-23T23:58:32.134940+00:00,2201.0
6259725,2026-05-23T23:58:32.134940+00:00,596.0
6259726,2026-05-23T23:58:32.134940+00:00,1317.0
6259727,2026-05-23T23:58:32.134940+00:00,714.0
6259728,2026-05-23T23:58:32.134940+00:00,1279.0
6259729,2026-05-23T23:58:32.134940+00:00,936.0
6259730,2026-05-23T23:58:32.134940+00:00,1103.0
6250040,2026-05-24T04:25:25.983178+00:00,7643.0
6250051,2026-05-24T04:25:25.983178+00:00,862.0
6250092,2026-05-24T04:25:25.983178+00:00,2271.0
6250102,2026-05-24T04:25:25.983178+00:00,318.0
6250103,2026-05-24T04:25:25.983178+00:00,831.0
6250104,2026-05-24T04:25:25.983178+00:00,950.0
6250380,2026-05-24T04:25:25.983178+00:00,550.0
6250383,2026-05-24T04:25:25.983178+00:00,299.0
6250384,2026-05-24T04:25:25.983178+00:00,1336.0
6250385,2026-05-24T04:25:25.983178+00:00,257.0
6250387,2026-05-24T04:25:25.983178+00:00,720.0
6250389,2026-05-24T04:25:25.983178+00:00,455.0
6250390,2026-05-24T04:25:25.983178+00:00,698.0
6250394,2026-05-24T04:25:25.983178+00:00,391.0
6259475,2026-05-24T04:25:25.983178+00:00,336.0
6259476,2026-05-24T04:25:25.983178+00:00,264.0
6259477,2026-05-24T04:25:25.983178+00:00,1584.0
6259478,2026-05-24T04:25:25.983178+00:00,2437.0
6259536,2026-05-24T04:25:25.983178+00:00,430.0
6259537,2026-05-24T04:25:25.983178+00:00,192.0
6259538,2026-05-24T04:25:25.983178+00:00,529.0
6259539,2026-05-24T04:25:25.983178+00:00,265.0
6259540,2026-05-24T04:25:25.983178+00:00,189.0
6259541,2026-05-24T04:25:25.983178+00:00,396.0
6259542,2026-05-24T04:25:25.983178+00:00,623.0
6259543,2026-05-24T04:25:25.983178+00:00,415.0
6259544,2026-05-24T04:25:25.983178+00:00,290.0
6259546,2026-05-24T04:25:25.983178+00:00,738.0
6259547,2026-05-24T04:25:25.983178+00:00,472.0
6259548,2026-05-24T04:25:25.983178+00:00,833.0
6259549,2026-05-24T04:25:25.983178+00:00,2115.0
6259550,2026-05-24T04:25:25.983178+00:00,2242.0
6259551,2026-05-24T04:25:25.983178+00:00,1614.0
6259553,2026-05-24T04:25:25.983178+00:00,1796.0
6259555,2026-05-24T04:25:25.983178+00:00,292.0
6259556,2026-05-24T04:25:25.983178+00:00,625.0
6259560,2026-05-24T04:25:25.983178+00:00,557.0
6259561,2026-05-24T04:25:25.983178+00:00,1253.0
6259570,2026-05-24T04:25:25.983178+00:00,924.0
6259571,2026-05-24T04:25:25.983178+00:00,401.0
6259572,2026-05-24T04:25:25.983178+00:00,235.0
